Layers,batch_size,epochs,optimizer,loss,Accuracy,Loss,Accuracy_val,Loss_val,Accuracy_test,Loss_test
"[8,D,4,2,1]",16,EarlyStopping(10),Adam(0.01),binary_crossentropy,0.9359875321388245,0.1632557064294815,0.9482244253158569,0.13486680388450623,0.9446027278900146,0.13524480164051056
"[32,D,1]",16,EarlyStopping(14),Adam(0.01),binary_crossentropy,0.9523809552192688,0.11576593667268753,0.9514002799987793,0.11769413948059082,0.9575762152671814,0.10309655219316483
"[64,D,32,D,32,1]",16,EarlyStopping(13),Adam(0.01),binary_crossentropy,0.9558671116828918,0.10670328885316849,0.957944393157959,0.11577329784631729,0.9588081240653992,0.09607504308223724
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(7),Adam(0.01),binary_crossentropy,0.7712189555168152,0.5081431269645691,0.8495813608169556,0.4226329028606415,0.9555743932723999,0.11416849493980408
"[512,D,256,D,1]",16,EarlyStopping(15),Adam(0.01),binary_crossentropy,0.9469378590583801,0.15122297406196594,0.9556347131729126,0.12413660436868668,0.9533800482749939,0.11266595125198364
"[32,D,1]",16,EarlyStopping(25),Adamax(0.01),binary_crossentropy,0.9548512101173401,0.10939541459083557,0.9584255814552307,0.10185525566339493,0.9569217562675476,0.10183136910200119
"[64,D,32,D,32,1]",16,EarlyStopping(31),Adamax(0.01),binary_crossentropy,0.9631708860397339,0.08615930378437042,0.9616976380348206,0.08783555030822754,0.9627348184585571,0.08724559843540192
"[512,D,256,D,1]",16,EarlyStopping(14),Adamax(0.01),binary_crossentropy,0.9672130942344666,0.07646620273590088,0.9643922448158264,0.08540739864110947,0.9641207456588745,0.08650557696819305
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(17),Adamax(0.01),binary_crossentropy,0.9671489596366882,0.07572045922279358,0.9642960429191589,0.0872802585363388,0.9633122682571411,0.08542193472385406
"[32,D,1]",16,EarlyStopping(15),Nadam(0.01),binary_crossentropy,0.9537711143493652,0.11141101270914078,0.9568857550621033,0.10241235047578812,0.9574607610702515,0.10259272158145905
"[64,D,32,D,32,1]",16,EarlyStopping(12),Nadam(0.01),binary_crossentropy,0.956583559513092,0.10558553785085678,0.9595804214477539,0.10167214274406433,0.9595395922660828,0.09581463038921356
"[512,D,256,D,1]",16,EarlyStopping(13),Nadam(0.01),binary_crossentropy,0.9499320983886719,0.12758785486221313,0.9514002799987793,0.10715891420841217,0.9542269706726074,0.10654845088720322
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(5),Nadam(0.01),binary_crossentropy,0.8713120222091675,0.3819679021835327,0.8675777316093445,0.38434258103370667,0.9492608308792114,0.12512525916099548
"[512,D,256,D,128,64,32,1]-tanh",16,EarlyStopping(20),Adamax(0.001),binary_crossentropy,0.9680151343345642,0.07206090539693832,0.9611201882362366,0.09207991510629654,0.9618493914604187,0.09164850413799286
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(16),Adamax(ExponentialDecay),binary_crossentropy,0.9697582125663757,0.06888103485107422,0.9635261297225952,0.08813710510730743,0.9654681086540222,0.0852627232670784
"[512,D,256,D,128,64,32,1]",32,EarlyStopping(11),Adamax(ExponentialDecay),binary_crossentropy,0.9669671654701233,0.07470826059579849,0.9642960429191589,0.08482006937265396,0.9637357592582703,0.08457174897193909
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(13),Adamax(ExponentialDecay),binary_crossentropy,0.9678119421005249,0.07188520580530167,0.9622750282287598,0.08801817893981934,0.964390218257904,0.08456142991781235
"L1_L2_reg - [512,D,256,D,128,64,32,1]",64,EarlyStopping(16),Adamax(ExponentialDecay),binary_crossentropy,0.9680258631706238,0.08058580756187439,0.9639110565185547,0.09548869729042053,0.9654296040534973,0.0917346253991127
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(19),Adamax(ExponentialDecay),binary_crossentropy,0.970538854598999,0.06650793552398682,0.9644885063171387,0.0864957869052887,0.9652756452560425,0.08235009014606476
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(26),Adamax(ExponentialDecay),square_loss,0.9726775884628296,0.019813623279333115,0.9624674916267395,0.02740379236638546,0.9641207456588745,0.025637656450271606
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(22),Adamax(ExponentialDecay),abs_loss,0.9235935211181641,0.07639259099960327,0.9262823462486267,0.07361087948083878,0.9255081415176392,0.07447689771652222
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(21),Adamax(ExponentialDecay),weighted_binary_crossentropy,0.9651920199394226,0.02312304824590683,0.9606389999389648,0.028824515640735626,0.9585001468658447,0.028020130470395088
"BN [512,256,128,64,32,1]",64,EarlyStopping(19),Adamax(ExponentialDecay),binary_crossentropy,0.9680685997009277,0.07187715172767639,0.9638148546218872,0.08305822312831879,0.9650831818580627,0.08201422542333603
